WKT,LEFT_FID,RIGHT_FID
"LINESTRING (120.24678208385784 -5.135417724413547, 120.24705342343958 -5.134881825928226, 120.24730376007624 -5.134323322057075, 120.24785674270562 -5.134526907072233, 120.24759248166394 -5.135077967052635, 120.24739054344367 -5.1349765720721345, 120.24711016641052 -5.135541724217039, 120.24730376007624 -5.135707945340749, 120.24720863215425 -5.135932343789016, 120.24695495769575 -5.135781082621425, 120.24678208385784 -5.135417724413547)",-1,12
"LINESTRING (120.26476596313897 -5.131287902560698, 120.26483437385357 -5.131670455645996, 120.26513244008048 -5.131693343788222, 120.26513423828473 -5.131828863806274, 120.26517887788795 -5.131998802331837, 120.26515606209078 -5.132140088397173, 120.26548644610754 -5.132249774949281, 120.26539392469284 -5.132450606307047, 120.26504121147545 -5.132291297003609, 120.26494847813053 -5.13256489448801, 120.26493073481599 -5.132699664075056, 120.26534194839785 -5.132896521939288, 120.26550183990304 -5.132815520778132, 120.26549532307533 -5.1329018469933745, 120.26551615489018 -5.132956187714453, 120.26550425099596 -5.1330964855548205, 120.26545961139274 -5.13319528683238, 120.26537132417742 -5.133317800395319, 120.26554988259038 -5.133404745490176, 120.26549929104004 -5.133587527753279, 120.26538124408926 -5.133605311970666, 120.26521930152865 -5.133721650380594, 120.26510472654705 -5.13362309618761, 120.2650404951179 -5.133530223049452, 120.26512204483689 -5.133462218258942, 120.26526797973722 -5.133350472275631, 120.26526844852951 -5.133240493786205, 120.26526207965911 -5.1330563687044455, 120.26505497279749 -5.132974191298676, 120.26500251333752 -5.132973966494412, 120.26493049869642 -5.133086029231369, 120.2647069143286 -5.132953572650199, 120.2646351646751 -5.133003473605123, 120.26431831915336 -5.132932780068587, 120.26426942582727 -5.133214694147068, 120.26443145088818 -5.133244079222153, 120.26451695723819 -5.133323344739769, 120.26467289210419 -5.133729757324422, 120.26427418192908 -5.133946176041591, 120.26413431117233 -5.134024228948129, 120.26399344842437 -5.133958032179884, 120.26401031227442 -5.133880967276892, 120.26378215430236 -5.133727825454824, 120.26379604217898 -5.133686328954721, 120.26367204328108 -5.133579623656524, 120.26353713248024 -5.133336572632683, 120.26342503747647 -5.13319528683238, 120.26332484636701 -5.133177502603535, 120.26327028685198 -5.133053012987941, 120.26336650999671 -5.13298286406678, 120.26340817362642 -5.133027324651505, 120.26345876517675 -5.13298286406678, 120.26347066907097 -5.132889990835364, 120.26364823549271 -5.1330569650396045, 120.26359565995999 -5.133174538565364, 120.26383373784388 -5.133317800395319, 120.26389524129723 -5.133269387780513, 120.26398253652135 -5.133030288690386, 120.26402023218625 -5.132853434346949, 120.26401824820394 -5.132778345337184, 120.2640420559923 -5.132652867630026, 120.26402023218625 -5.132636071399664, 120.26404602395702 -5.132557030309546, 120.26395376877699 -5.132528377912025, 120.26403114408927 -5.13233571520517, 120.26407280771897 -5.132243829893722, 120.26407379971018 -5.132020538651603, 120.2642404542289 -5.132002754389984, 120.26422187586702 -5.131960658047039, 120.26431487053561 -5.131951867507987, 120.26405174276893 -5.131474476886287, 120.26383573428929 -5.131578749743391, 120.26380150330635 -5.131553737900927, 120.26374847347765 -5.131463613616359, 120.26365179696312 -5.1313197466091625, 120.2635913569002 -5.131177947624342, 120.26338509048107 -5.131234444562403, 120.26331509613617 -5.131096430036462, 120.26333490617192 -5.130924371827448, 120.26331622152627 -5.130832482075374, 120.26316060506636 -5.130642457641675, 120.26311980320013 -5.130816338546016, 120.26315706640713 -5.131024982692865, 120.26312297800676 -5.131078392196707, 120.26302439998591 -5.131044975522657, 120.26299250304517 -5.130808142056751, 120.26296179212284 -5.130628694708304, 120.2629881992745 -5.130475313662218, 120.26296698336316 -5.1304178416968975, 120.26287572863752 -5.130336292039915, 120.26291118604378 -5.130285582798309, 120.26300840117972 -5.130317199348043, 120.26307387259779 -5.1301610926183665, 120.2633218703935 -5.130244086074385, 120.2632435030901 -5.130386360545256, 120.26338238185565 -5.13056617962284, 120.26345975716795 -5.130518754816092, 120.26359268398647 -5.130514802748707, 120.26369783505184 -5.130641268892931, 120.26385456965882 -5.130589892024926, 120.2640013843538 -5.130712406088176, 120.26401725621282 -5.130913961431259, 120.26424739816721 -5.130911985398854, 120.26418391073155 -5.131014739078997, 120.26441603666834 -5.131275575269776, 120.26476596313897 -5.131287902560698)",-1,48
"LINESTRING (120.25274774746974 -5.126825027795577, 120.25493068294213 -5.127662793263597, 120.25455017125428 -5.128424095057025, 120.25405617362436 -5.128168111585894, 120.25376244530395 -5.128045106504751, 120.2536589728275 -5.128078351123631, 120.25291130073907 -5.1277658516380535, 120.2524617531672 -5.127591814873587, 120.25274774746974 -5.126825027795577)",-1,9
"LINESTRING (120.25649111464438 -5.125696369802289, 120.25697342989781 -5.125965652155682, 120.25693003821414 -5.126086995401267, 120.25719539504914 -5.12624324557389, 120.25725046910911 -5.126364588766717, 120.257499136835 -5.1265291500461645, 120.2575041435677 -5.126859934711956, 120.25740234000205 -5.126886530456585, 120.25663464098275 -5.1269214373696785, 120.25613229879836 -5.126692049048718, 120.25614731899661 -5.1265790170922125, 120.25631587899865 -5.126028817135684, 120.25649111464438 -5.125696369802289)",-1,10
"LINESTRING (120.25937695392525 -5.121598416187266, 120.25901576115659 -5.122758830640859, 120.25897149313853 -5.122735047811109, 120.25861264697224 -5.122610208730259)",-1,5
"LINESTRING (120.26300648058724 -5.121302779513102, 120.26305429106831 -5.121322867643106, 120.2632384708449 -5.121412596305828, 120.26335441125072 -5.121400181614864, 120.26360292923744 -5.121500227156315, 120.26378275611545 -5.121604282375512, 120.26373726946731 -5.1218709097775355, 120.26366221621765 -5.121857837249942, 120.26358573236986 -5.121907716000849, 120.2634253982144 -5.121865271890578, 120.2633761586767 -5.122140123091133, 120.26309533301824 -5.122100556376606, 120.26306020058759 -5.122235508416726, 120.26299946049579 -5.122440128743276, 120.26317093529042 -5.122489636482073, 120.26296768778049 -5.122845963586163, 120.26291118252286 -5.122821431370437, 120.2628886760102 -5.122862664822823, 120.26286273455713 -5.12296601452362, 120.26278058155052 -5.122931515252447, 120.26274145903434 -5.123052832825857, 120.26280218147814 -5.123074779278867, 120.26271442872374 -5.123342397305895, 120.26274804881658 -5.123355714573273, 120.26269911954262 -5.123758606782467, 120.26264339442343 -5.123820573998892, 120.26263062429288 -5.1239133761997495, 120.2625783134383 -5.123984627725407, 120.26252944293651 -5.124030182717008, 120.26249182950832 -5.124056100527306, 120.26227001667968 -5.123936149744044, 120.26222082636484 -5.124058245252326, 120.26201458423151 -5.123912038884602, 120.26184527947908 -5.123688962510074, 120.26176468424539 -5.12338453999621, 120.26190547886952 -5.12322420289306, 120.26199121916758 -5.1231338183946855, 120.26201084640769 -5.123110123561923, 120.26203420784091 -5.122999765185885, 120.26200624535429 -5.1227941762305145, 120.26210010382906 -5.122644285171305, 120.26214082889868 -5.12248809631408, 120.26214014346333 -5.122313081341077, 120.26211243560687 -5.1222054997481985, 120.26212264590188 -5.122185715403281, 120.26215372820297 -5.122146734605846, 120.26220180443165 -5.122109980818544, 120.26226568811613 -5.1220611423763645, 120.26228351954882 -5.121793440688347, 120.26198298867858 -5.121632502246219)",-1,6
"LINESTRING (120.26265907307159 -5.121157702606969, 120.26277077974616 -5.12120374703595, 120.26286861739943 -5.121244854679284, 120.26296009226196 -5.121283288916321, 120.26299918433669 -5.121299713908443, 120.26300648058724 -5.121302779513102)",8,6
"LINESTRING (120.25861264697224 -5.122610208730259, 120.25831857793192 -5.122512117927134, 120.25830321652458 -5.122479775362241, 120.25833571780456 -5.122406993246529, 120.25839935988576 -5.122300872478889, 120.25842476380366 -5.122214910151411, 120.2582477377638 -5.122069503797076, 120.25811115088199 -5.121946984035184, 120.25803291719109 -5.121840255070674, 120.25793575053557 -5.121699972810554, 120.25788259455 -5.1215837879002395, 120.25777585646887 -5.121476462203909, 120.25793466897956 -5.12111557625967)",-1,5
"LINESTRING (120.25937695392525 -5.121598416187266, 120.25932513398625 -5.121585436450869, 120.25870429912717 -5.121371006449647, 120.25860166110616 -5.121440820876509, 120.25793466897956 -5.12111557625967)",5,2
"LINESTRING (120.26198298867858 -5.121632502246219, 120.26222718568707 -5.121068238133806, 120.26225492595013 -5.120991116905381)",-1,6
