WKT,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan
"POLYGON ((120.270902612806 -5.109427791291488, 120.27105030960125 -5.1090688656778225, 120.27126723721724 -5.10851988338015, 120.27143251489039 -5.108152241340036, 120.27146192235033 -5.1080697590834685, 120.27157158789306 -5.108113530956114, 120.27195068352744 -5.1082774298660105, 120.27196762754515 -5.108284755468354, 120.27191902251228 -5.108361526351371, 120.271796054915 -5.108604722374939, 120.2717473986715 -5.10882500854849, 120.27168016458953 -5.109287609266557, 120.27168418204351 -5.109341284059628, 120.271508816076 -5.109363611376294, 120.27127462742685 -5.109393427820897, 120.2711785772755 -5.10941106275747, 120.27102262953456 -5.109439694935952, 120.270902612806 -5.109427791291488))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW03 LENGKONG,0.933563901866,21.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26977660285705 -5.109115082657276, 120.26977720661459 -5.109113553298631, 120.26963897586279 -5.109075133628541, 120.26984423297979 -5.108544194711358, 120.27001610383763 -5.108161905675498, 120.27028895884398 -5.107582080466781, 120.27029400545868 -5.10756767081316, 120.27037419302329 -5.107601339733537, 120.27044729698036 -5.107632034399963, 120.27073139824587 -5.107751321885976, 120.27129307367315 -5.10800236483249, 120.2713071001779 -5.108007963372564, 120.27134077298936 -5.108021403539561, 120.27146192235033 -5.1080697590834685, 120.27143251489039 -5.108152241340036, 120.27126723721724 -5.10851988338015, 120.27122324327676 -5.108631219712643, 120.27105030960125 -5.1090688656778225, 120.270902612806 -5.109427791291488, 120.27087689424198 -5.109418899695212, 120.27085242895356 -5.109430755405134, 120.27077876166135 -5.1094100073701005, 120.27049041853009 -5.109328796846341, 120.27015324320195 -5.109223285758126, 120.26977660285705 -5.109115082657276))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW03 LENGKONG,2.49260742521,18.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27029400545868 -5.10756767081316, 120.2703657130362 -5.107362923256669, 120.27038148819234 -5.107324895784474, 120.27073643096789 -5.107454274889889, 120.27076896584718 -5.107400196238992, 120.27108390444162 -5.106864458942181, 120.27141653621551 -5.107019540837292, 120.27174916798936 -5.107438966683863, 120.2722799633732 -5.107791425166288, 120.27196762754514 -5.108284755468354, 120.27157158789306 -5.108113530956114, 120.27129307367315 -5.10800236483249, 120.27073139824587 -5.107751321885976, 120.27029400545868 -5.10756767081316))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW03 LENGKONG,1.54549715803,18.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26517200064202 -5.117177391849489, 120.26543656856447 -5.116249376750611, 120.26557765509148 -5.115685865566922, 120.2658701293774 -5.115756249011976, 120.26589734886741 -5.115623638194189, 120.26625570377449 -5.11570167554012, 120.26628586876616 -5.115706504182857, 120.26628832395647 -5.115643239011083, 120.26665531755997 -5.115695014173622, 120.26671483263279 -5.11571798161039, 120.2668040311828 -5.116050695275713, 120.26688742592806 -5.116346325489534, 120.26685257315661 -5.11637925402155, 120.26676971951824 -5.116433225932603, 120.26673089778063 -5.116707876269247, 120.26653193238721 -5.116652936294657, 120.26651863988965 -5.116716533598059, 120.2664508816318 -5.116698395944357, 120.26635072306567 -5.116671585304152, 120.26633404029316 -5.116741254964553, 120.26631902440442 -5.116836420913724, 120.26620517399047 -5.116812161078988, 120.26600728372073 -5.116781449608756, 120.26596699955371 -5.116912940161243, 120.26594123077143 -5.1169063636887495, 120.2658298007303 -5.1168779255229415, 120.26581262515863 -5.116941347935437, 120.26577262955601 -5.1170890353546445, 120.2657521796368 -5.117087238658254, 120.26563533322205 -5.117076972711626, 120.26562047745593 -5.117134406835106, 120.2655839374755 -5.117275674565133, 120.2655547611916 -5.117265032060499, 120.26517200064202 -5.117177391849489))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW02 BARU,2.08825167764,18.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26515248719191 -5.107499215069467, 120.26523807794756 -5.107505162807407, 120.26544906911263 -5.107523006020889, 120.26561626965854 -5.107564640183754, 120.26585711806392 -5.107677647183646, 120.26657966328021 -5.108020633219174, 120.2672713560148 -5.10835866262953, 120.26714893733177 -5.108970932893641, 120.267131781191 -5.109056738334963, 120.266980411426 -5.109623559412582, 120.26645320183601 -5.109369766879529, 120.2666127492721 -5.108925294206079, 120.26608618228897 -5.108692538968184, 120.2659241616788 -5.1091611527629075, 120.26564685717288 -5.109061843906299, 120.26553311507065 -5.1088799259620865, 120.26549106812463 -5.108794951283275, 120.26548795234366 -5.108407025760909, 120.26525426877129 -5.107832895556918, 120.26515248719191 -5.107499215069467))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW03 BARU,2.73095227485,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27352435607169 -5.108900613131599, 120.27260694945501 -5.108560250930331, 120.27196762754515 -5.108284755468337, 120.2722799633732 -5.107791425166288, 120.27232685029871 -5.107715646608921, 120.27237196790631 -5.107699785979503, 120.27271167695199 -5.107842531630181, 120.2730712908245 -5.107972060063447, 120.27355431462384 -5.108192787027163, 120.27378388362737 -5.108309098210997, 120.27352435607169 -5.108900613131599))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW02 Kokoe,1.37983759808,21.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.2758328533472 -5.116245962577048, 120.2760460567162 -5.11628419459431, 120.27614869473724 -5.116184458892308, 120.27622504741147 -5.116162018357217, 120.27643032345358 -5.11598249404816, 120.27656800860377 -5.116051062366599, 120.27658803553473 -5.116113397195166, 120.27674699929904 -5.116205652730285, 120.27680582840865 -5.1161981725522585, 120.27713376940278 -5.11627297432862, 120.27710623237276 -5.1164238245509805, 120.2768997046474 -5.116392657152581, 120.2767119521699 -5.1163390492237815, 120.27652920642504 -5.116595868562863, 120.27649415929592 -5.116777886090266, 120.2763677392944 -5.1170683660096445, 120.27619375533187 -5.117028471779602, 120.27614118463815 -5.117079586261407, 120.27612991948946 -5.117240409848216, 120.27626009454056 -5.117253292356004, 120.27628512820424 -5.117326431750154, 120.27642865454263 -5.11737131273788, 120.27630682404606 -5.117705426658616, 120.27596302839832 -5.117728698268501, 120.27593298800193 -5.117620651501219, 120.27567764463245 -5.117602366661881, 120.27563925968148 -5.117264928169267, 120.27552410482859 -5.117246643319762, 120.2755825167105 -5.11711698709916, 120.2755992058196 -5.11693413853826, 120.27542063235205 -5.116917515939224, 120.27540894997568 -5.116811131295173, 120.27559753690866 -5.116824429376635, 120.2755708343341 -5.116546831868539, 120.2757560834453 -5.116538520564036, 120.27574940780164 -5.116407201938702, 120.27517029571536 -5.115984987441694, 120.27524873452818 -5.115848681914674, 120.27546736185762 -5.115955066718739, 120.27551242245222 -5.115875278117344, 120.27563258403782 -5.115928470519372, 120.27573438760346 -5.115627600937179, 120.27542230126299 -5.115494619861296, 120.27544566601571 -5.115331718005678, 120.27561255710687 -5.115140557612054, 120.27583952899083 -5.114987629256044, 120.2760781832512 -5.115034172672607, 120.2758328533472 -5.116245962577048))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW02 TALIBUNGING,2.28850467325,18.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.2762741694744 -5.114132879431604, 120.27661740512426 -5.114199116348478, 120.27659402074698 -5.114315693031344, 120.27689708334151 -5.114374363227743, 120.27714646690225 -5.1144959250091, 120.277231095986 -5.1143317905014225, 120.27693798367554 -5.114175613855975, 120.2768164728093 -5.1140392939217785, 120.27680780838962 -5.113832682960136, 120.27676441933593 -5.113717735108348, 120.27644364509872 -5.113693851627704, 120.27644972454287 -5.113471018486821, 120.27684901147848 -5.1136094023558085, 120.27687654850853 -5.113831315164302, 120.27683524296349 -5.113879936499703, 120.27701798870831 -5.114126783222513, 120.27729085564233 -5.114038267489417, 120.27732590277144 -5.113922324327557, 120.27726206692911 -5.11379890093863, 120.27740350712884 -5.113719112068494, 120.27769389762747 -5.113999619771127, 120.27757749109136 -5.114175404535465, 120.27755120574449 -5.114255193348758, 120.27763006178506 -5.114297581151762, 120.27759376297273 -5.114447185139972, 120.27785286139176 -5.114458405437679, 120.27783658951039 -5.114776313790937, 120.2781632788213 -5.114767586897069, 120.27813824515762 -5.114657877364018, 120.27809068119667 -5.114353682651454, 120.27815326535584 -5.114252699948478, 120.2784624311022 -5.114316281652222, 120.27869524417432 -5.113923571028337, 120.27883918774047 -5.11401084007669, 120.27880163724498 -5.114091875610902, 120.27895684595973 -5.114160444131862, 120.2787916237795 -5.114455912038195, 120.27880226308658 -5.114497676478066, 120.27881978665118 -5.114831791899143, 120.27620170265436 -5.114789347793161, 120.27623067998577 -5.114243973047507, 120.2762741694744 -5.114132879431604))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW01 TALIBUNGING,1.95303579568,30.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27689720128093 -5.117812642282766, 120.27686048524089 -5.118061980874125, 120.27682376920082 -5.118216570751945, 120.27672196563526 -5.118258127164343, 120.27667356721882 -5.118467571441742, 120.27663059276283 -5.118669535501437, 120.27641864107703 -5.118624654604798, 120.27624340543136 -5.118632965882197, 120.27610989255842 -5.118676184522895, 120.27599807552735 -5.118654575202908, 120.27589627196176 -5.118576449193785, 120.27581115750525 -5.118443468730782, 120.27570601611785 -5.118385289769518, 120.27565928661231 -5.1182622828054445, 120.27564593532503 -5.118125977763551, 120.2751953293789 -5.118041202661885, 120.27506682323872 -5.11839526330611, 120.27493664818763 -5.118353706902619, 120.27486321610753 -5.118177507721835, 120.27484152026567 -5.118011282035079, 120.27464458877812 -5.117879963712018, 120.27459952818351 -5.117771916970287, 120.27450273135062 -5.117748645361993, 120.27444598837965 -5.117878301454585, 120.27455446758889 -5.118057825231728, 120.27456448105434 -5.118207428340861, 120.27445433293421 -5.118225713162901, 120.27426908382301 -5.118239011214983, 120.27423737451572 -5.117891599513878, 120.2743525293686 -5.117728698268485, 120.27409384817732 -5.1176140024688, 120.27418230045562 -5.117524240524253, 120.27452108937065 -5.1177187247215015, 120.27462456184719 -5.117743658588675, 120.27497670204949 -5.117565796981612, 120.2754139567083 -5.117695453111269, 120.27559586799768 -5.117795188577733, 120.27593966364545 -5.11787996371201, 120.27603171765801 -5.11786927902157, 120.27615328424213 -5.117828433729774, 120.27629681058052 -5.117848380820166, 120.27630348622415 -5.117914871116977, 120.27667899117925 -5.1180013084925084, 120.27675742999206 -5.117790201804794, 120.27689720128093 -5.117812642282766))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW02 TALIBUNGING,1.74620835834,16.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27880507937401 -5.114922489245457, 120.278757515413 -5.115301485577664, 120.27901035541612 -5.115371300667014, 120.2789690498711 -5.115646820856012, 120.27881884788904 -5.115952261650892, 120.27866739422382 -5.115932314501379, 120.27862859204511 -5.11602082997255, 120.27898907680202 -5.116175420343547, 120.27890771739507 -5.116398578958389, 120.27865112234241 -5.116313803627853, 120.27855098768774 -5.1164634071447646, 120.27872622333341 -5.116555662629446, 120.27860105501506 -5.1167601206832005, 120.27831191619966 -5.116610517235637, 120.27833444649696 -5.116505794801536, 120.27805782451333 -5.116464653840601, 120.27791888767997 -5.116408552525963, 120.27778871262885 -5.116326270588927, 120.27785254847124 -5.116070697838246, 120.27800275045324 -5.116170433557969, 120.27804781104791 -5.115669261409163, 120.27827561738734 -5.115705415632043, 120.27827186233779 -5.115381274250583, 120.27834195659607 -5.115209229912198, 120.27840579243843 -5.114895061870613, 120.27880507937401 -5.114922489245457))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW01 TALIBUNGING,1.46503798958,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
