FID,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan,WKT
22,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW03 KOKOE,0.767495529312000,17.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.26946751128628 -5.1095770190555347, 120.27069617586453 -5.109860238104635, 120.27085242895356 -5.1094307554051337, 120.27008084096292 -5.1091979449185017, 120.26963897586279 -5.1090751336285409, 120.26946751128628 -5.1095770190555347)"
23,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW01 KOKOE,0.592976324451000,17.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.27087689424198 -5.1094188996952123, 120.27085242895356 -5.1094307554051337, 120.27069617586453 -5.109860238104635, 120.27114291482307 -5.1099505690358695, 120.2716120458486 -5.1100110280056734, 120.27167740607713 -5.1093805639185108,"
24,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW01 LAPPAE,2.216697110860000,17.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.26852312954797 -5.1079019149273366, 120.26847546824899 -5.1081766640702897, 120.26844962131952 -5.108367825025578, 120.26844964724694 -5.1084194868438653, 120.2685951816332 -5.1084738832204737, 120.26885080402883 -5.1085721200148244,"
25,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW01 LAPPAE,1.050765463560000,17.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.26870682383775 -5.1069671856285135, 120.2686816217734 -5.107075342485901, 120.26859884445925 -5.1074837790275085, 120.26856493103567 -5.107651112938786, 120.26950295903093 -5.1079367965441138, 120.26953913108601 -5.1079547366325517, 1"
26,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW01 LAPPAE,2.116259979380000,17.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.2676963411608 -5.1069102395299693, 120.26755452135285 -5.1075159642111538, 120.26735568497125 -5.108326564205556, 120.26785181350733 -5.1084848226525539, 120.26783546777867 -5.1085412771836536, 120.2679782931362 -5.1085713345311543, 1"
27,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW03 LAPPAE,3.425932127460000,17.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.26780097991646 -5.1037559704713296, 120.26794373484691 -5.1038747400461348, 120.26792861961897 -5.1039801271152152, 120.26778082627922 -5.1041691546719896, 120.26768341703264 -5.1042394126877317, 120.26765654551632 -5.1043498181254865"
28,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW03 LENGKONG,0.933563901866000,21.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.270902612806 -5.1094277912914876, 120.27102262953456 -5.1094396949359524, 120.27117857727551 -5.10941106275747, 120.27127462742685 -5.1093934278208968, 120.27150881607599 -5.1093636113762937, 120.27168418204351 -5.109341284059628, 120"
29,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW03 LENGKONG,2.492607425210000,18.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.26977660285705 -5.1091150826572758, 120.27015324320195 -5.1092232857581257, 120.27049041853009 -5.1093287968463406, 120.27077876166135 -5.1094100073701005, 120.27085242895356 -5.1094307554051337, 120.27087689424198 -5.1094188996952123"
30,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW03 LENGKONG,1.545497158030000,18.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.27029400545868 -5.1075676708131601, 120.27073139824587 -5.107751321885976, 120.27129307367315 -5.1080023648324904, 120.27157158789306 -5.1081135309561141, 120.27196762754514 -5.1082847554683539, 120.27227996337319 -5.1077914251662877,"
31,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW02 BARU,2.088251677640000,18.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.26517200064202 -5.1171773918494887, 120.26555476119159 -5.1172650320604989, 120.2655839374755 -5.1172756745651329, 120.26562047745593 -5.1171344068351061, 120.26563533322205 -5.1170769727116259, 120.26575217963681 -5.1170872386582538,"
32,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW03 BARU,2.730952274850000,17.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.26515248719191 -5.1074992150694669, 120.26525426877129 -5.1078328955569177, 120.26548795234366 -5.1084070257609087, 120.26549106812463 -5.1087949512832749, 120.26553311507065 -5.1088799259620865, 120.26564685717288 -5.1090618439062991"
33,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW02 Kokoe,1.379837598080000,21.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.27352435607169 -5.108900613131599, 120.27378388362737 -5.1083090982109969, 120.27355431462384 -5.1081927870271633, 120.2730712908245 -5.1079720600634468, 120.27271167695199 -5.1078425316301814, 120.27237196790631 -5.107699785979503, 1"
34,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW02 TALIBUNGING,2.288504673250000,18.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.2758328533472 -5.1162459625770476, 120.2760781832512 -5.1150341726726074, 120.27583952899083 -5.1149876292560439, 120.27561255710687 -5.1151405576120537, 120.27544566601571 -5.1153317180056783, 120.27542230126299 -5.1154946198612956,"
35,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW01 TALIBUNGING,1.953035795680000,30.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.27627416947441 -5.1141328794316037, 120.27623067998577 -5.1142439730475067, 120.27620170265436 -5.1147893477931614, 120.27881978665118 -5.1148317918991433, 120.27880226308658 -5.1144976764780656, 120.2787916237795 -5.1144559120381947,"
36,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW02 TALIBUNGING,1.746208358340000,16.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.27689720128093 -5.1178126422827663, 120.27675742999206 -5.1177902018047936, 120.27667899117925 -5.1180013084925084, 120.27630348622415 -5.1179148711169766, 120.27629681058052 -5.117848380820166, 120.27615328424213 -5.1178284337297741,"
37,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW01 TALIBUNGING,1.465037989580000,17.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.27880507937401 -5.1149224892454566, 120.27840579243843 -5.1148950618706133, 120.27834195659607 -5.1152092299121978, 120.27827186233779 -5.1153812742505833, 120.27827561738734 -5.1157054156320427, 120.27804781104791 -5.1156692614091632"
