Data Aset Tanah Pemda yang telah disertifikatkan 5 tahun terkahir;;;;;;;;;;;;;;
No;Nomor Sertifikat;Nama Pemilik / Instansi;Luas (m²);Lokasi / Alamat;Desa / Kelurahan;Kecamatan;Tanggal Terbit Sertifikat;Nomor Hak (HGB/Hak Pakai/Hak Milik);Peruntukan / Penggunaan Tanah;Koordinat Longitude;Koordinat Latitude;Nilai Aset (Rp);Status Tanah (Aktif / Sengketa / Tidak Digunakan);Keterangan
33;00102;Dinas Pekerjaan Umum dan Penataan Ruang;2.272,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. R. W. Monginsidi Bidang 5;120.254527;-5.128.587;;Aktif;
34;00104;Dinas Pekerjaan Umum dan Penataan Ruang;2.091,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. R. W. Monginsidi Bidang 7;120.255796;-5.126.191;;Aktif;
35;00103;Dinas Pekerjaan Umum dan Penataan Ruang;1.014,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. R. W. Monginsidi Bidang 6;120.255244;-5.127.263;;Aktif;
36;00133;Dinas Pekerjaan Umum dan Penataan Ruang;3.565,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;01-12-2022;HAK PAKAI;Tanah Ruas Jl. K.H. Agus Salim;120.258320;-5.120.041;;Aktif;
37;00033;Dinas Pekerjaan Umum dan Penataan Ruang;559,00;Kel. Lappa;Kel. Lappa;SINJAI UTARA;01-12-2022;HAK PAKAI;Tanah Ruas Jl. Cakalang Bidang 3;120.269389;-5.109.824;;Aktif;
38;00030;Dinas Pekerjaan Umum dan Penataan Ruang;1.133,00;Kel. Lappa;Kel. Lappa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Cakalang Bidang 5;120.269847;-5.108.627;;Aktif;Penamaan Pada Peta Jl. Titang
39;00031;Dinas Pekerjaan Umum dan Penataan Ruang;1.097,00;Kel. Lappa;Kel. Lappa;SINJAI UTARA;01-12-2022;HAK PAKAI;Tanah Ruas Jl. Cakalang Bidang 6;120.270237;-5.107.683;;Aktif;Penamaan Pada Peta Jl. Titang
40;00034;Dinas Pekerjaan Umum dan Penataan Ruang;460,00;Kel. Lappa;Kel. Lappa;SINJAI UTARA;19-01-2023;HAK PAKAI;Tanah Ruas Jl. Cakalang Bidang 4;120.269572;-5.109.315;;Aktif;Penamaan Pada Peta Jl. Titang
41;00124;Dinas Pekerjaan Umum dan Penataan Ruang;363,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;02-08-2023;HAK PAKAI;Tanah Ruas Jl. Veteran Bidang 2;120.245253;-5.131.869;;Aktif;
42;00117;Dinas Pekerjaan Umum dan Penataan Ruang;4.151,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;19-01-2023;HAK PAKAI;Tanah Ruas Jl. Veteran Bidang 3;120.246277;-5.134.597;;Aktif;
