WKT,id,Lokasi,luas,layer,path,Baseline,Kawasan,Kode_RT_RW
"POLYGON ((120.256491114644 -5.12569636980233,120.256973429898 -5.12596565215566,120.256930038214 -5.12608699540123,120.257195395049 -5.12624324557389,120.257250469109 -5.12636458876672,120.257499136835 -5.12652915004619,120.257504143568 -5.12685993471199,120.257402340002 -5.12688653045657,120.256634640983 -5.12692143736966,120.256132298798 -5.12669204904875,120.256147318997 -5.1265790170922,120.256315878999 -5.12602881713568,120.256491114644 -5.12569636980233))",0,RT01_RW01 MATTOANGING,1.300325547061289,RT001-RW008,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL BIRINGERE/RT01_RW01 MATTOANGING.shx|layername=RT01_RW01 MATTOANGING,RT001-RW008 MATTOANGING,Daerah Kumuh Mangottong,RT001-RW008
"POLYGON ((120.241533256241 -5.13620116368521,120.241267349815 -5.13629083756797,120.241404240749 -5.13661897376027,120.241532673892 -5.13669603593318,120.241694421711 -5.13662980041545,120.241784671692 -5.13686982978523,120.242246960014 -5.13678173275563,120.242407175462 -5.13708924120224,120.242345425758 -5.1372754084059,120.24233040556 -5.13748152203227,120.242479697327 -5.1380193089922,120.240618102965 -5.13824198100444,120.240544670884 -5.13824198100443,120.240519637221 -5.13747237989705,120.2408834598 -5.13743581135477,120.241330727924 -5.13736682978069,120.241125451882 -5.13614344447936,120.241480929906 -5.13606199618979,120.241533256241 -5.13620116368521))",0,RT01_RW03 BIRINGERE,2.674355284859324,RT001-RW003,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL BIRINGERE/RT01_RW03 BIRINGERE.shx|layername=RT01_RW03 BIRINGERE,RT001-RW003 BIRINGERE,Daerah Kumuh Mangottong,RT001-RW003
"POLYGON ((120.246782083858 -5.13541772441358,120.24705342344 -5.13488182592825,120.247303760076 -5.13432332205704,120.247856742706 -5.13452690707224,120.247592481664 -5.13507796705266,120.247390543444 -5.13497657207215,120.247110166411 -5.13554172421699,120.247303760076 -5.13570794534072,120.247208632154 -5.13593234378901,120.246954957696 -5.13578108262143,120.246782083858 -5.13541772441358))",0,RT03_RW01 BIRINGERE,0.835877440719231,RT003-RW001,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL BIRINGERE/RT03_RW01 BIRINGERE.shx|layername=RT03_RW01 BIRINGERE,RT003-RW003 BIRINGERE,Daerah Kumuh Mangottong,RT003-RW001
"POLYGON ((120.252561385751 -5.11878918324686,120.252736435962 -5.11873303596229,120.252876487869 -5.11850712121818,120.252925326475 -5.1184330746314,120.252974793036 -5.11835807593989,120.253009764811 -5.11841471832027,120.253037989414 -5.11850239230653,120.253208476556 -5.11856260890521,120.253916305425 -5.11882063496762,120.253953210253 -5.1188340879248,120.253898220271 -5.119011703079,120.253855690685 -5.11914349597173,120.253554995684 -5.11942528310031,120.253337024305 -5.11999050258765,120.253255652691 -5.1199564546252,120.252484141322 -5.11965689718785,120.252450125024 -5.11932996999841,120.252561385751 -5.11878918324686))",0,RT01_RW02 PARUNTU,1.771341888139663,RT001-RW008,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BONGKI/RT01_RW02 PARUNTU.shx|layername=RT01_RW02 PARUNTU,RT001-RW008 PARUNTU,Daerah Kumuh Paruntu,RT001-RW008
"POLYGON ((120.241068523476 -5.10857288210093,120.241234672829 -5.10837045311135,120.241302350788 -5.10828651265401,120.241703086077 -5.10852971082174,120.241996795477 -5.10870909141439,120.242185909173 -5.10881390617564,120.242458317954 -5.10895613711176,120.242775180648 -5.10901846611843,120.243018326841 -5.10903385669345,120.243249535816 -5.10905278211463,120.243552005605 -5.10913537104746,120.243896013261 -5.1092623689672,120.244166043667 -5.10940339383349,120.244445392056 -5.10959586176855,120.245040151737 -5.10991161811292,120.244940075127 -5.11017418058651,120.244889342964 -5.11018371902354,120.244816155645 -5.11032270812805,120.244776101784 -5.11040914652864,120.244764975711 -5.1104756375981,120.244771651354 -5.110539912292,120.244791678285 -5.11057315782081,120.244791678285 -5.11065737981936,120.244742723565 -5.110717221759,120.2446715167 -5.11077928006085,120.244649264554 -5.11086571839986,120.244649264554 -5.11092334395267,120.244831019358 -5.1110310675229,120.244827833002 -5.11110708257441,120.244689270932 -5.11139195330837,120.244613103483 -5.11147195808824,120.244579119049 -5.11172428474406,120.244413361072 -5.11167766787824,120.244431264963 -5.11150560435895,120.244362894863 -5.11143501967839,120.244280408571 -5.11131990467571,120.244178925207 -5.11129795074709,120.244070708772 -5.11130234265191,120.243783656095 -5.11114276427958,120.243775472045 -5.11104351967036,120.243872648539 -5.11095916478525,120.243893038381 -5.11094135295361,120.24393596707 -5.11090385199214,120.243871463195 -5.11073436973156,120.243822841275 -5.11059351278059,120.243903845495 -5.11056275011064,120.243881194666 -5.11044350024872,120.243789219131 -5.11015980495675,120.243477689094 -5.11025880280726,120.243375329225 -5.11005194160966,120.243425767422 -5.10988201986166,120.243509598521 -5.10983815703905,120.243503790876 -5.10973789417833,120.243635458375 -5.10972698427349,120.243931253851 -5.10969765323859,120.243939121081 -5.10964221958431,120.243737297458 -5.10951705734622,120.24349901057 -5.10943490119088,120.243397207362 -5.10968196843813,120.243146873865 -5.10962196562089,120.242948088032 -5.10957172785771,120.242724083101 -5.109497848787,120.242666615415 -5.10955932807036,120.24195721529 -5.10913233814856,120.241728477918 -5.10909310079905,120.241068523476 -5.10857288210093))",0,RT02_RW01 Popanda,4.047124222773871,RT002-RW001,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BONGKI/RT02_RW01 POPANDA.shx|layername=RT02_RW01 POPANDA,RT02_RW01 POPANDA,Daerah Kumuh Paruntu,RT002-RW001
"POLYGON ((120.253612059163 -5.11786238494417,120.254248219212 -5.11809081132162,120.255049937666 -5.11841366912669,120.254739662635 -5.11915254869721,120.254648426794 -5.1191109830331,120.253983659882 -5.11884518775966,120.253208476556 -5.11856260890521,120.253037989414 -5.11850239230653,120.253009764811 -5.11841471832027,120.252873598423 -5.11819417504973,120.25265986123 -5.11799123027164,120.25241864698 -5.11780131725583,120.252386875575 -5.11770315578881,120.252385465846 -5.11762108453451,120.252384828407 -5.11756830273447,120.25260209324 -5.1176151397153,120.253251833655 -5.11779006984832,120.253612059163 -5.11786238494417))",0,RT02_RW02 PARUNTU,2.247971122763389,RT002-RW008,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BONGKI/RT02_RW02 PARUNTU.shx|layername=RT02_RW02 PARUNTU,RT002-RW008 PARUNTU,Daerah Kumuh Paruntu,RT002-RW008
"POLYGON ((120.252221669663 -5.11492535203535,120.252420566976 -5.11478400473576,120.252641271638 -5.11501882190107,120.253131312672 -5.11551439688135,120.253275982361 -5.11569049188496,120.253466451683 -5.11590249063859,120.253526826787 -5.11603395319029,120.253566945019 -5.11635545661337,120.253568325144 -5.11670261514523,120.253497459338 -5.11667626887865,120.252988626945 -5.11643985844536,120.252650394333 -5.1161354798839,120.252544654186 -5.11581193260684,120.252386469366 -5.11566636800373,120.252131159048 -5.11548308929123,120.25186418052 -5.11528388801447,120.251938325678 -5.11514255463817,120.252221669663 -5.11492535203535))",0,RT04_RW02 PARUNTU,1.675287360100352,RT004-RW008,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BONGKI/RT04_RW02 PARUNTU.shx|layername=RT04_RW02 PARUNTU,RT004-RW008 PARUNTU,Daerah Kumuh Paruntu,RT004-RW008
"POLYGON ((120.252529204523 -5.1145896606165,120.252593643916 -5.11439283007441,120.252625480922 -5.11431408907187,120.252886271531 -5.11444240121392,120.253342177546 -5.1146671843766,120.253901869842 -5.11493353517584,120.254230166989 -5.11511186637436,120.254557498374 -5.11529306239227,120.254533522877 -5.11537108030095,120.254502488928 -5.11544392892055,120.254552491482 -5.11546918541868,120.254233263616 -5.11630687753825,120.253592357039 -5.11604262746326,120.253517032862 -5.11595878916938,120.253466451683 -5.11590249063859,120.253275982361 -5.11569049188496,120.253131312672 -5.11551439688135,120.25297833305 -5.1153596897669,120.252735528503 -5.1151141432496,120.252641271638 -5.11501882190107,120.252500341017 -5.11486887978122,120.252497866388 -5.11484880946536,120.252500028869 -5.11483092697667,120.252529204523 -5.1145896606165))",0,RT05_RW02 PARUNTU,2.435272123984824,RT005-RW008,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BONGKI/RT05_RW02 PARUNTU.shx|layername=RT05_RW02 PARUNTU,RT005-RW008 PARUNTU,Daerah Kumuh Paruntu,RT005-RW008
"POLYGON ((120.269388353862 -5.10957859630229,120.268813910121 -5.11130511327815,120.267804968657 -5.11101613850416,120.267806226318 -5.11098571391133,120.267732794238 -5.11080203246144,120.267651017603 -5.11071725638988,120.267565068691 -5.11061087071558,120.267525849285 -5.11049949819385,120.267519458796 -5.11043735216827,120.267552551859 -5.11028589561668,120.267663534435 -5.1101753541772,120.267776185922 -5.11016704279,120.268069244921 -5.11010680875901,120.268097451272 -5.10993016820951,120.268115809292 -5.10966087910637,120.268115809292 -5.10949465120844,120.268129995035 -5.1092885285551,120.269388353862 -5.10957859630229))",0,RT02_RW02 KOKOE,2.776194586650442,RT002-RW012,,RT02_RW012 KOKOE,Kawasan Minapolitan Lappa,RT002-RW012
"POLYGON ((120.268813910121 -5.11130511327815,120.26872579623 -5.11163233868693,120.268371987117 -5.11150268132923,120.268316913057 -5.11167389552679,120.268330264344 -5.11185674559015,120.268330264344 -5.11185674559015,120.268318581968 -5.11199305196705,120.268146684144 -5.11253993945588,120.268001488895 -5.11249339585799,120.268044880578 -5.11219917375021,120.267881327309 -5.1121759019393,120.267907195428 -5.11172542600448,120.267792875031 -5.11171420565889,120.267806643546 -5.1115774836542,120.26797854137 -5.11159036627594,120.268021098598 -5.11132066230204,120.267804974635 -5.11127661202741,120.267804968657 -5.11101613850416,120.268813910121 -5.11130511327815))",0,RT03_RW02 KOKOE,0.835412626033302,RT003-RW012,,RT03_RW012 KOKOE,Kawasan Minapolitan Lappa,RT003-RW012
